Your Organization,Date and Time of collection,Jonah Ventures Kit #,Site name,Water Temperature (C),pH,Specific Conductivity (uS/cm),Dissolved Oxygen (mg/L),Turbidity (NTU),Sky Code,Precipitation Last 24hrs,Location in waterway,Dominant Substrate,Water Clarity, Observed Flow,Dominant Land Use,Animal Presence,Evidence of Fire,Beaufort Scale (Observed Wind),Flow (cfs),SWAMP Station Code,Sample Number,Notes,Volume of water filtered (ml),x,y
SWAMP Bioassesment,5/31/2022 11:00,EZUR1IIH,Santa Lucia Creek ~1mi above Arroyo Seco,17.1,8,362.3,7.95,0.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,309slcaas,,,,-121.4824,36.2195
SWAMP Bioassesment,5/31/2022 11:00,DZ1BXK4G,Santa Lucia Creek ~1mi above Arroyo Seco,17.1,8,362.3,7.95,0.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,309slcaas,,,,-121.4824,36.2195
SWAMP Bioassesment,5/11/2022 2:00,Q44F55E5,Manzana Creek ~0.5mi above Davy Brown Creek,18.7,8.2,661,9.63,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,312mzcdbc,,,,-119.9366,34.7709
SWAMP Bioassesment,5/11/2022 2:00,MO0WBW3S,Manzana Creek ~0.5mi above Davy Brown Creek,18.7,8.2,661,9.63,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,312mzcdbc,,,,-119.9366,34.7709
SWAMP Bioassesment,5/10/2022 12:00,XFP51FGA,Alamo Pintado Creek ~0.8mi above Figueroa Mtn. Rd.,14.2,8,544,7.38,0.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,314we0677,,,,-120.0547,34.7478
SWAMP Bioassesment,5/10/2022 12:00,B013PCPX,Alamo Pintado Creek ~0.8mi above Figueroa Mtn. Rd.,14.2,8,544,7.38,0.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,314we0677,,,,-120.0547,34.7478
SWAMP Bioassesment,6/13/2022 11:00,WXC7M8O4,Monumental Creek ~2.1mi above EF NF of NF American R.,10.4,7.7,16.8,10.3,0.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,514ps0090,,,,-120.6154,39.2596
SWAMP Bioassesment,6/13/2022 11:00,WNRXYA2T,Monumental Creek ~2.1mi above EF NF of NF American R.,10.4,7.7,16.8,10.3,0.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,514ps0090,,,,-120.6154,39.2596
SWAMP Bioassesment,6/27/2022 3:00,,East Creek above Mosquito Cr.,5.48,8.4,92.5,7.71,5.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,526escamc,,,,-120.206,41.1752
SWAMP Bioassesment,6/27/2022 3:00,6WP29RQQ,East Creek above Mosquito Cr.,17.3,8.4,92.5,7.71,5.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,526escamc,,,,-120.206,41.1752
Central Valley Region SWAMP Fre,8/9/2022 14:33,RC9IGH3X,Hensley Lake at East Floating Dock ,27.396,9.31,218.7,8.39,115,Clear,None,Bank,Mud,"Murky (< 4"" vis.)",Not Recorded,Range,Birds,No,2,Not Recorded,539MAD002,Single,Paint like scum out to 1.5m from shore. Streaking in the remainder of the observable area. ,5,-119.8778332,37.12022893
SWAMP Bioassesment,6/23/2022 11:30,UYZFNZMG,"Prosser Cr, below confluence",10.6,7.9,44.4,9.29,1.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,635prs001,,,,-120.226,39.3828
SWAMP Bioassesment,6/23/2022 11:30,A3289LIK,"Prosser Cr, below confluence",10.6,7.9,44.4,9.29,1.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,635prs001,,,,-120.226,39.3828
SWAMP Bioassesment,3/31/2022 10:00,E5ST28Y4,Azalea Creek ~1mi above Res.,9.7,8,110.7,9.57,1.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,719np7azc,,,,-116.80592,33.85613
SWAMP Bioassesment,3/31/2022 10:00,AQ7JD6KZ,Azalea Creek ~1mi above Res.,9.7,8,110.7,9.57,1.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,719np7azc,,,,-116.80592,33.85613
Wiyot Tribe,8/8/2022 17:28,ATOQ8I11,MS_Fernbridge,20,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Overcast,None,Channel Center,Cobble,Clear,Water Flowing,Agriculture,"Birds,Domestics,Wildlife",No,1,Not Recorded,,Single,"
",295,-124.2035378,40.61165299
Wiyot Tribe,8/8/2022 19:06,SK2U3TEE,VanDuzen,20,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Partly Cloudy,None,Channel Center,"Gravel, Sandl",Clear,Water Flowing,Agriculture,"Birds,Domestics,Wildlife",No,2,Not Recorded,,Single,"
",532,-124.1469461,40.53675004
Wiyot Tribe,8/9/2022 17:07,2AQ12N2Y,SF_confluence,21,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Overcast,None,Channel Center,Cobble,Clear,Water Flowing,Forest,"Birds,Wildlife",No,1,Not Recorded,,Single,"
",414,-123.9268632,40.35504093
Wiyot Tribe,8/9/2022 18:05,JPQE477X,MS_confluence,22,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Cloudy,None,Bank,Cobble,Clear,Water Flowing,Forest,"Birds,Wildlife",No,1,Not Recorded,,Single,,473,-123.9166982,40.35332307
Wiyot Tribe,8/11/2022 17:16,OUWNB8Q7,SF_BurnsCk,15.5,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Clear,None,Channel Center,Cobble,Clear,Water Flowing,Forest,"Birds,Wildlife",No,1,Not Recorded,,Single,,1005,-124.0349135,40.32230907
Wiyot Tribe,8/11/2022 19:21,ZKZ8XF9R,SF_SlideCk,15.5,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Clear,None,Channel Center,Boulder,Clear,Water Flowing,Forest,"Birds,Wildlife",No,1,Not Recorded,,Single,,1005,-124.030891,40.30477
Lahontan Region 6 SWAMP,7/18/2022 18:40,WZ0PUFLO,East Fork Carson below Markleeville,20.9,7.5,145.7,7.8,1.35,Partly Cloudy,None,Bank,Boulder,Clear,50-200 cfs,Forest,Domestics,< 1 year,,70.2,632ECR005,Single,Long term SWAMP trend sampling location. Cattle ~1 mile upstream. Flow value from USGS gage 10308200.,300,-119.7245086,41.80355167
Central Valley Region SWAMP Fre,7/26/2022 15:52,PIU8G5GH,Hensley Lake at East Floating Dock,27.417,9.34,212.2,7.86,24.8,Clear,None,Bank,"Mud, Sand","Cloudy (> 4"" vis.)",NA,Range,Wildlife,No,1,NR,539MAD002,Single,"Surface of water has green, <1cm, circular, colonies floating on surface with some clumping together forming larger masses as far as can be seen from dock.",200,-119.8774026,37.12008817
Lahontan Region 6 SWAMP,7/26/2022 19:11,O6TKPLF4,West Fork Carson River @ Paynesville,18.2,7.93,99.7,8.44,1.26,Smoky,None,Bank,Mud,"Cloudy (> 4"" vis.)",20-50 cfs,Range,Birds,No,0,24.8,633WFCB02,Single,,450,-119.7770726,38.80886599
